year,ac_no,constituency,constituency_kn,clean_constituency,slug,category,category_kn,winner,winner_kn,winner_party,winner_party_kn,winner_votes,vote_share,runner_up,runner_up_kn,runner_up_party,runner_up_party_kn,runner_up_votes,margin,color
2004,159,Holehonnur,Holehonnur,holehonnur,holehonnur_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Basavanneppa G,Basavanneppa ಜಿ.,BJP,ಬಿಜೆಪಿ (BJP),50071,44.7,Kariyanna,Kariyanna,INC,ಕಾಂಗ್ರೆಸ್ (INC),43769,6302,#ff7f0e
2004,160,Bhadravathi,Bhadravathi,bhadravathi,bhadravathi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,B K Sangameshwara,ಬಿ. ಕೆ. Sangameshwara,IND,ಪಕ್ಷೇತರ (IND),52572,53.7,M J Appaji,ಎಂ. ಜೆ. Appaji,INC,ಕಾಂಗ್ರೆಸ್ (INC),35141,17431,#7f7f7f
2004,161,Honnali,ಹೊನ್ನಾಳಿ,honnali,honnali_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Renukacharya Mp,Renukacharya Mp,BJP,ಬಿಜೆಪಿ (BJP),46593,38.6,Shanthanagowda Dgq,Shanthanagowda Dgq,INC,ಕಾಂಗ್ರೆಸ್ (INC),39119,7474,#ff7f0e
2004,162,Shimoga,ಶಿವಮೊಗ್ಗ,shimoga,shimoga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Eshwarappa Ks,ಈಶ್ವರಪ್ಪ Ks,BJP,ಬಿಜೆಪಿ (BJP),69015,54.3,Chandrashekarappa Hn,Chandrashekarappa Hn,INC,ಕಾಂಗ್ರೆಸ್ (INC),49766,19249,#ff7f0e
2004,163,Tirthahalli,ತೀರ್ಥಹಳ್ಳಿ,tirthahalli,tirthahalli_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Araga Jnanendra,Araga Jnanendra,BJP,ಬಿಜೆಪಿ (BJP),47843,48.3,Kimmane Rathnakara,Kimmane Rathnakara,INC,ಕಾಂಗ್ರೆಸ್ (INC),46468,1375,#ff7f0e
2004,164,Hosanagar,Hosanagar,hosanagar,hosanagar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Halappa H,Halappa ಎಚ್.,BJP,ಬಿಜೆಪಿ (BJP),49086,39.1,Dr Narayanappa Gd,ಡಾ. Narayanappa Gd,INC,ಕಾಂಗ್ರೆಸ್ (INC),32235,16851,#ff7f0e
2004,165,Sagar,ಸಾಗರ,sagar,sagar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Gopalakrishna Belur Bk,Gopalakrishna Belur Bk,BJP,ಬಿಜೆಪಿ (BJP),57455,54.1,Kagodu Thimmappa,Kagodu Thimmappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),42448,15007,#ff7f0e
2004,166,Sorab,ಸೊರಬ,sorab,sorab_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Kumar Bangarappa S,ಕುಮಾರ್ Bangarappa ಎಸ್.,INC,ಕಾಂಗ್ರೆಸ್ (INC),44677,43.4,Madhu Bangarappa S,Madhu Bangarappa ಎಸ್.,BJP,ಬಿಜೆಪಿ (BJP),32748,11929,#1f77b4
2004,167,Shikaripura,ಶಿಕಾರಿಪುರ,shikaripura,shikaripura_assembly_constituency,nan,ಸಾಮಾನ್ಯ,B S Yeddyurappa,ಬಿ. ಎಸ್. Yeddyurappa,BJP,ಬಿಜೆಪಿ (BJP),64972,55.5,Shekarappa K,Shekarappa ಕೆ.,INC,ಕಾಂಗ್ರೆಸ್ (INC),45019,19953,#ff7f0e
2004,168,Sirsi,ಶಿರಸಿ,sirsi,sirsi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Viveknand Vaidya,Viveknand Vaidya,BJP,ಬಿಜೆಪಿ (BJP),47811,42.8,Jaiwant Premanand,Jaiwant Premanand,INC,ಕಾಂಗ್ರೆಸ್ (INC),33652,14159,#ff7f0e
